127.0.0.1 - - [22/Jul/2025:23:30:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:30:59 +0530] "GET /TutWebPages/ HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:30:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:50:31 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2241
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:50:33 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:50:35 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:50:35 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:52:05 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2296
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:52:06 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:52:06 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:52:07 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:52:07 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:52:09 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2843
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:52:10 +0530] "GET /TutWebPages/ HTTP/1.1" 500 2296
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:58:20 +0530] "GET /TutWebPages/ HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:58:20 +0530] "GET /TutWebPages/css/style.css HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:58:38 +0530] "GET /TutWebPages/index.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:59:18 +0530] "GET /TutWebPages/index.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:59:18 +0530] "GET /TutWebPages/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2025:23:59:35 +0530] "GET /TutWebPages/webApp HTTP/1.1" 404 773
